part_id,ftype,role,cx,cy,cz,nx,ny,nz,area,bbox_dx,bbox_dy,bbox_dz,dist_load,nlx,nly,nlz,dist_fixed,nfx,nfy,nfz,global_size_initial,global_size_final,local_size,refine_needed,converged,load_face,load_direction,load_scale,maxsize,thickness,load_id
15,FACE,free,242.08740234375,5.575299859046936,5.124566435813904,4.017202949524719e-17,0.6560590289905059,-0.75470958,48.66523885726929,11.12518310546875,5.562599897384644,2.450866937637329,168.99362960991624,0.0,-1,0,167.94289299545866,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,171.47539520263672,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.665223121643066,11.125198364257812,5.562599897384644,2.450866937637329,130.70307818638133,0.0,-1,0,130.70616318659523,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,99.08539581298828,5.575299859046936,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.66521143913269,11.125198364257812,5.562599897384644,2.450866937637329,126.85803796929424,0.0,-1,0,125.45489331377004,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,31.013399124145508,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905059,-0.75470958,48.66523170471192,11.125202178955078,5.562599897384644,2.450866937637329,155.9444177156245,0.0,-1,0,155.9470033832992,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,5.124566435813904,-5.575299859,242.08740234375,-0.75470958,-0.656059029,-2.64e-15,48.66523861885071,2.450866937637329,5.562599897384644,11.12518310546875,167.94289299545866,0.0,-1,0,168.99362960991624,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,5.124566435813904,0.0126999616622924,171.47539520263672,-0.75470958,-0.656059029,-2.64e-15,48.665223121643066,2.450866937637329,5.562599897384644,11.125198364257812,130.70616318659523,0.0,-1,0,130.70307818638133,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,5.124566435813904,-5.575299859,99.08539581298828,-0.75470958,-0.656059029,-2.64e-15,48.66521143913269,2.450866937637329,5.562599897384644,11.125198364257812,125.45489331377004,0.0,-1,0,126.85803796929424,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,FACE,free,5.124566435813904,0.0126999616622924,31.013399124145508,-0.75470958,-0.656059029,-2.64e-15,48.66523170471192,2.450866937637329,5.562599897384644,11.125202178955078,155.9470033832992,0.0,-1,0,155.9444177156245,0,-1,0.0,12.7,6.502400000000001,2.7432000000000003,0,1,tension,-1,high,254.0,6.35,78
15,CIRC_HOLE,free,1.949566,2.794,31.0134,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995478,5.486399970948696,5.486398696899414,133.49545029418923,0.0,0,-1,100.80668824238973,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,2.794,31.0134,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995478,5.486399970948696,5.486398696899414,133.49545029418923,0.0,0,-1,100.80668824238973,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,-2.794,99.0854,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995682,5.486399970948696,5.48638916015625,163.33132205075776,0.0,0,-1,32.85422511638886,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,-2.794,99.0854,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995682,5.486399970948696,5.48638916015625,163.33132205075776,0.0,0,-1,32.85422511638886,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,2.794,171.4754,1.0,0.0,3.5527136788005e-15,67.205588,3.8991329669959,5.486399970948696,5.48638916015625,215.08839363119608,0.0,0,-1,39.85877155656405,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,2.794,171.4754,1.0,0.0,3.5527136788005e-15,67.205588,3.8991329669959,5.486399970948696,5.48638916015625,215.08839363119608,0.0,0,-1,39.85877155656405,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,-2.794,242.0874,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966996111,5.486399970948696,5.48638916015625,274.70987151620227,0.0,0,-1,110.37749228714324,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,-2.794,242.0874,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966996111,5.486399970948696,5.48638916015625,274.70987151620227,0.0,0,-1,110.37749228714324,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,31.0134,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.486398696899414,5.486399970948696,3.8991329669952393,100.80668824238973,0.0,0,-1,133.49545029418934,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,31.0134,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.486398696899414,5.486399970948696,3.8991329669952393,100.80668824238973,0.0,0,-1,133.49545029418934,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,99.0854,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,32.85422511638883,0.0,0,-1,163.33132205075805,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,99.0854,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,32.85422511638883,0.0,0,-1,163.33132205075805,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,171.4754,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,39.85877155656403,0.0,0,-1,215.0883936311964,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,171.4754,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,39.85877155656403,0.0,0,-1,215.0883936311964,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,242.0874,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,110.3774922871432,0.0,0,-1,274.7098715162026,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,242.0874,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,110.3774922871432,0.0,0,-1,274.7098715162026,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FILLET,free,7.503732,0.0,7.503732,0.0,-1.0,0.0,158.346087,3.174999713897705,31.75,3.174999713897705,124.48512930790426,0.0,0,-1,124.48512930790427,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,5.575299859046936,31.013399124145508,-0.75470958,0.6560590289905059,-2.8e-15,48.665231466293335,2.450866937637329,5.562599897384644,11.125202178955078,130.49935291471388,0.0,0,-1,101.03329390337854,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,-0.012699962,99.08539581298828,-0.75470958,0.6560590289905059,-2.8e-15,48.66521096229553,2.450866937637329,5.562599897384644,11.125198364257812,160.79515553060915,0.0,0,-1,33.07649438034386,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,5.575299859046936,171.47539520263672,-0.75470958,0.6560590289905059,-2.8e-15,48.66522240638733,2.450866937637329,5.562599897384644,11.125198364257812,213.2417908052405,0.0,0,-1,40.42844537017187,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,-0.012699962,242.08740234375,-0.75470958,0.6560590289905059,-2.8e-15,48.6652398109436,2.450866937637329,5.562599897384644,11.12518310546875,273.2095839318982,0.0,0,-1,110.44385641402638,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,31.013399124145508,-5.575299859,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66523122787476,11.125202178955078,5.562599897384644,2.450866937637329,101.0332939033785,0.0,0,-1,130.499352914714,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,99.08539581298828,0.0126999616622924,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66521143913269,11.125198364257812,5.562599897384644,2.450866937637329,33.0764943803438,0.0,0,-1,160.79515553060943,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,171.47539520263672,-5.575299859,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66522216796875,11.125198364257812,5.562599897384644,2.450866937637329,40.428445370171815,0.0,0,-1,213.24179080524084,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,242.08740234375,0.0126999616622924,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.665239572525024,11.12518310546875,5.562599897384644,2.450866937637329,110.44385641402636,0.0,0,-1,273.2095839318986,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,131.76249980926514,0.0,6.349999904632568,0.0,0.0,-1.0,7375.739882946014,244.47500038146973,31.75,0.0,6.349999904632571,0.0,0,-1,181.90561161260868,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,254.0,0.0,3.174999952316284,1.0,0.0,0.0,201.6125030517578,0.0,31.75,6.349999904632568,122.27872681275026,0.0,0,-1,284.6941256304971,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,load,131.76249980926514,0.0,0.0,0.0,0.0,-1.0,7669.929370880127,244.47500038146973,31.75,0.0,1.9073485191256625e-07,0.0,0,-1,186.3403143773153,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,4.762499809265137,0.0,4.762499809265137,-0.707106781,0.0,-0.707106781,474.27552032470703,9.524999618530272,31.75,9.524999618530272,127.08926568707486,0.0,0,-1,127.08926568707489,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,fixed,-4.36e-13,0.0,131.76249980926514,-1.0,0.0,0.0,7669.929374217987,8.719033524687283e-13,31.75,244.47500038146973,186.3403143773153,0.0,0,-1,1.9073485191256625e-07,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,3.174999952316284,0.0,254.0,0.0,0.0,1.0,201.6125030517578,6.349999904632568,31.75,0.0,284.6941256304967,0.0,0,-1,122.27872681275028,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,6.349999904632568,0.0,131.76249980926514,-1.0,0.0,0.0,7375.739856719971,0.0,31.75,244.47500038146973,181.9056116126084,0.0,0,-1,6.349999904633007,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,127.0,15.875,127.0,0.0,-1.0,0.0,3167.9159030914307,254.0,0.0,254.0,128.0769184172152,0.0,0,-1,128.0769184172157,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,127.0,-15.875,127.0,0.0,-1.0,0.0,3167.9159030914307,254.0,0.0,254.0,128.0769184172152,0.0,0,-1,128.0769184172157,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,242.08740234375,5.575299859046936,5.124566435813904,4.017202949524719e-17,0.6560590289905059,-0.75470958,48.66523885726929,11.12518310546875,5.562599897384644,2.450866937637329,110.58448908789757,0.0,0,-1,273.26646438864464,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,171.47539520263672,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.665223121643066,11.125198364257812,5.562599897384644,2.450866937637329,40.04217011875985,0.0,0,-1,213.1688943973694,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,99.08539581298828,5.575299859046936,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.66521143913269,11.125198364257812,5.562599897384644,2.450866937637329,33.54308107079875,0.0,0,-1,160.89178303860686,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,31.013399124145508,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905059,-0.75470958,48.66523170471192,11.125202178955078,5.562599897384644,2.450866937637329,100.87934709214368,0.0,0,-1,130.3802028834509,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,-5.575299859,242.08740234375,-0.75470958,-0.656059029,-2.64e-15,48.66523861885071,2.450866937637329,5.562599897384644,11.12518310546875,273.2664643886443,0.0,0,-1,110.58448908789758,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,0.0126999616622924,171.47539520263672,-0.75470958,-0.656059029,-2.64e-15,48.665223121643066,2.450866937637329,5.562599897384644,11.125198364257812,213.16889439736903,0.0,0,-1,40.04217011875991,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,-5.575299859,99.08539581298828,-0.75470958,-0.656059029,-2.64e-15,48.66521143913269,2.450866937637329,5.562599897384644,11.125198364257812,160.89178303860658,0.0,0,-1,33.54308107079881,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,FACE,free,5.124566435813904,0.0126999616622924,31.013399124145508,-0.75470958,-0.656059029,-2.64e-15,48.66523170471192,2.450866937637329,5.562599897384644,11.125202178955078,130.38020288345078,0.0,0,-1,100.8793470921437,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,low,254.0,6.35,79
15,CIRC_HOLE,free,1.949566,2.794,31.0134,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995478,5.486399970948696,5.486398696899414,133.49545029418923,0.0,0,-1,100.80668824238973,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,2.794,31.0134,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995478,5.486399970948696,5.486398696899414,133.49545029418923,0.0,0,-1,100.80668824238973,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,-2.794,99.0854,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995682,5.486399970948696,5.48638916015625,163.33132205075776,0.0,0,-1,32.85422511638886,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,-2.794,99.0854,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966995682,5.486399970948696,5.48638916015625,163.33132205075776,0.0,0,-1,32.85422511638886,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,2.794,171.4754,1.0,0.0,3.5527136788005e-15,67.205588,3.8991329669959,5.486399970948696,5.48638916015625,215.08839363119608,0.0,0,-1,39.85877155656405,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,2.794,171.4754,1.0,0.0,3.5527136788005e-15,67.205588,3.8991329669959,5.486399970948696,5.48638916015625,215.08839363119608,0.0,0,-1,39.85877155656405,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,-2.794,242.0874,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966996111,5.486399970948696,5.48638916015625,274.70987151620227,0.0,0,-1,110.37749228714324,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,1.949566,-2.794,242.0874,1.0,0.0,3.5527136788005e-15,67.205588,3.899132966996111,5.486399970948696,5.48638916015625,274.70987151620227,0.0,0,-1,110.37749228714324,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,31.0134,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.486398696899414,5.486399970948696,3.8991329669952393,100.80668824238973,0.0,0,-1,133.49545029418934,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,31.0134,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.486398696899414,5.486399970948696,3.8991329669952393,100.80668824238973,0.0,0,-1,133.49545029418934,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,99.0854,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,32.85422511638883,0.0,0,-1,163.33132205075805,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,99.0854,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,32.85422511638883,0.0,0,-1,163.33132205075805,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,171.4754,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,39.85877155656403,0.0,0,-1,215.0883936311964,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,171.4754,-2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,39.85877155656403,0.0,0,-1,215.0883936311964,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,242.0874,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,110.3774922871432,0.0,0,-1,274.7098715162026,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,CIRC_HOLE,free,242.0874,2.794,1.949566,0.0,0.0,1.0,67.205588,5.48638916015625,5.486399970948696,3.8991329669952393,110.3774922871432,0.0,0,-1,274.7098715162026,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FILLET,free,7.503732,0.0,7.503732,0.0,-1.0,0.0,158.346087,3.174999713897705,31.75,3.174999713897705,124.48512930790426,0.0,0,-1,124.48512930790427,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,5.124566435813904,5.575299859046936,31.013399124145508,-0.75470958,0.6560590289905059,-2.8e-15,48.665231466293335,2.450866937637329,5.562599897384644,11.125202178955078,130.49935291471388,0.0,0,-1,101.03329390337854,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,5.124566435813904,-0.012699962,99.08539581298828,-0.75470958,0.6560590289905059,-2.8e-15,48.66521096229553,2.450866937637329,5.562599897384644,11.125198364257812,160.79515553060915,0.0,0,-1,33.07649438034386,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,5.124566435813904,5.575299859046936,171.47539520263672,-0.75470958,0.6560590289905059,-2.8e-15,48.66522240638733,2.450866937637329,5.562599897384644,11.125198364257812,213.2417908052405,0.0,0,-1,40.42844537017187,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,5.124566435813904,-0.012699962,242.08740234375,-0.75470958,0.6560590289905059,-2.8e-15,48.6652398109436,2.450866937637329,5.562599897384644,11.12518310546875,273.2095839318982,0.0,0,-1,110.44385641402638,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,31.013399124145508,-5.575299859,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66523122787476,11.125202178955078,5.562599897384644,2.450866937637329,101.0332939033785,0.0,0,-1,130.499352914714,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,99.08539581298828,0.0126999616622924,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66521143913269,11.125198364257812,5.562599897384644,2.450866937637329,33.0764943803438,0.0,0,-1,160.79515553060943,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,171.47539520263672,-5.575299859,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.66522216796875,11.125198364257812,5.562599897384644,2.450866937637329,40.428445370171815,0.0,0,-1,213.24179080524084,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,242.08740234375,0.0126999616622924,5.124566435813904,-1.21e-16,-0.656059029,-0.75470958,48.665239572525024,11.12518310546875,5.562599897384644,2.450866937637329,110.44385641402636,0.0,0,-1,273.2095839318986,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,131.76249980926514,0.0,6.349999904632568,0.0,0.0,-1.0,7375.739882946014,244.47500038146973,31.75,0.0,6.349999904632571,0.0,0,-1,181.90561161260868,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,254.0,0.0,3.174999952316284,1.0,0.0,0.0,201.6125030517578,0.0,31.75,6.349999904632568,122.27872681275026,0.0,0,-1,284.6941256304971,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,load,131.76249980926514,0.0,0.0,0.0,0.0,-1.0,7669.929370880127,244.47500038146973,31.75,0.0,1.9073485191256625e-07,0.0,0,-1,186.3403143773153,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,1,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,4.762499809265137,0.0,4.762499809265137,-0.707106781,0.0,-0.707106781,474.27552032470703,9.524999618530272,31.75,9.524999618530272,127.08926568707486,0.0,0,-1,127.08926568707489,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,fixed,-4.36e-13,0.0,131.76249980926514,-1.0,0.0,0.0,7669.929374217987,8.719033524687283e-13,31.75,244.47500038146973,186.3403143773153,0.0,0,-1,1.9073485191256625e-07,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,3.174999952316284,0.0,254.0,0.0,0.0,1.0,201.6125030517578,6.349999904632568,31.75,0.0,284.6941256304967,0.0,0,-1,122.27872681275028,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,6.349999904632568,0.0,131.76249980926514,-1.0,0.0,0.0,7375.739856719971,0.0,31.75,244.47500038146973,181.9056116126084,0.0,0,-1,6.349999904633007,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,127.0,15.875,127.0,0.0,-1.0,0.0,3167.9159030914307,254.0,0.0,254.0,128.0769184172152,0.0,0,-1,128.0769184172157,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,127.0,-15.875,127.0,0.0,-1.0,0.0,3167.9159030914307,254.0,0.0,254.0,128.0769184172152,0.0,0,-1,128.0769184172157,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,242.08740234375,5.575299859046936,5.124566435813904,4.017202949524719e-17,0.6560590289905059,-0.75470958,48.66523885726929,11.12518310546875,5.562599897384644,2.450866937637329,110.58448908789757,0.0,0,-1,273.26646438864464,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,171.47539520263672,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.665223121643066,11.125198364257812,5.562599897384644,2.450866937637329,40.04217011875985,0.0,0,-1,213.1688943973694,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,99.08539581298828,5.575299859046936,5.124566435813904,4.0172029495247177e-17,0.6560590289905058,-0.75470958,48.66521143913269,11.125198364257812,5.562599897384644,2.450866937637329,33.54308107079875,0.0,0,-1,160.89178303860686,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
15,FACE,free,31.013399124145508,-0.012699962,5.124566435813904,4.0172029495247177e-17,0.6560590289905059,-0.75470958,48.66523170471192,11.125202178955078,5.562599897384644,2.450866937637329,100.87934709214368,0.0,0,-1,130.3802028834509,-1,0,0.0,12.7,5.201920000000001,1.6459200000000005,0,1,bend_bottom,1,medium,254.0,6.35,80
